INDEX,NAME,ADDRESS,PHONE_NUMBER,RATING,REVIEWS,PRICE,TYPE,OPERATING_HOURS,GOOGLE_MAPS_LINK,LATITUDE,LONGITUDE
1,L.P. Savani International School,"T.P 10, Gaurav Path Road, behind Nakshatra Heights, Pal Gam, Surat, Gujarat 394510, India",+91 72018 02525,4.4,523,-,CBSE school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJH1zE-FFM4DsRZ4rmkRcr7xg,21.1998703,72.7682471
2,VIBGYOR High CBSE School - Surat,"Survey 62/1, Magdalla Village, Choryasi Taluka, behind The Grand Bhagwati Hotel, Surat, Gujarat 395007, India",+91 60030 00700,4.4,7,-,Educational institution,Closes soon · 5 PM · Opens 7:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVXlS4DsRi65L0Seoyqk,21.1307367,72.7502774
3,"Ethical Public School || English medium school, Best School in surat / Preschool/ School Near me","B/h indian oil petrol pump Nr. Priyanka Intercity, Puna Patiya Rd, Surat, Gujarat 395011, India",+91 93777 24777,4.8,180,-,Preschool,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJf6LRrl1P4DsR8Irad_JNns4,21.1914552,72.8718658
4,Seven Steps School,"Palanpur Canal Rd, opposite royal titanium, Sandhyavandan Society, Pankaj Nagar, Surat, Gujarat 395009, India",+91 98796 26666,4.7,85,-,K-12 school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJ-9zQ1IJN4DsR5dUcwbD8RJ0,21.2067287,72.77726919999999
5,Broadway International School,"Behind Atlanta Mall, Althan-Bhimrad Canal Road, Althan, Surat, Gujarat 395017, India",+91 99241 95300,-,-,-,International school,Closes soon · 4:30 PM · Opens 7:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJc2AiDvlR4DsR3VK0jdZTSLs,21.1434231,72.8082936
6,G.D.Goenka International School,"Wisdom Valley campus Canal Road, Bharthana Road, New City Light, Surat, Gujarat 395007, India",+91 261 297 6000,-,-,-,International school,Closed · Opens 9 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJL2-zR_dN4DsRtJeF1xut0Iw,21.1540565,72.7911377
7,EuroSchool Surat - CBSE School,"Block No. 283, Village Kosmada Ahead Simada Police Chowki, Parvat Patiya -Canal Road, Gujarat 395013, India",+91 78745 30000,4.2,90,-,Educational consultant,Closes soon · 5 PM · Opens 9 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJzaWy1Z1F4DsRbvp93KP4UKo,21.211563299999998,72.9163702
8,SHREE SWAMINARAYAN H.V. VIDYALAYA,"New Rander Rd, near Prime Arcade, Nayandeep Society, Adajan, Surat, Gujarat 395009, India",+91 261 278 4394,4.6,45,-,CBSE school,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJi-cw3S5M4DsRIJLBfX628Yo,21.2009127,72.7964951
9,Ryan International School,"Plot No, 85, Rander Rd, opp. Navyug College, Kotyark Nagar Society, Adajan Patiya, Surat, Gujarat 395009, India",+91 88660 57708,5,1,-,International school,Closes soon · 5 PM · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJbd5g05ZN4DsRAnDKNwI4uvM,21.205008499999998,72.8031845
10,Lancers Army Schools,"London House, Dumas Rd, Piplod, Surat, Gujarat 395007, India",+91 95122 66600,-,-,-,CBSE school,Closed · Opens 7:20 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJWz6s1JFN4DsRvMzEb43l974,21.1593904,72.7714737
